ISO 639 code	BCP-47 code	Number of speakers (rounded)	Writing system(s), ISO 15924	Name (Glottolog)	Glottocode (Glottolog)	Region, ISO 3166 (Glottolog)	Link to Glottolog	Alternative Name(s)	Endonym	Link to Wikipedia
abt	abt	10K-100K	latn	Ambulas	ambu1247	PG	https://glottolog.org/resource/languoid/id/ambu1247			https://en.wikipedia.org/w/index.php?title=ISO_639:abt
abv	abv	300000	arab	Baharna Arabic	baha1259	BH, OM	https://glottolog.org/resource/languoid/id/baha1259			https://en.wikipedia.org/w/index.php?title=ISO_639:abv
abx	abx	10K-100K	latn	Inabaknon	inab1237	PH	https://glottolog.org/resource/languoid/id/inab1237			https://en.wikipedia.org/w/index.php?title=ISO_639:abx
aby	aby	<10K	latn	Aneme Wake	anem1248	PG	https://glottolog.org/resource/languoid/id/anem1248			https://en.wikipedia.org/w/index.php?title=ISO_639:aby
abz	abz	10K-100K	latn	Abui	abui1241	ID	https://glottolog.org/resource/languoid/id/abui1241			https://en.wikipedia.org/w/index.php?title=ISO_639:abz
aca	aca	<10K	latn	Achagua	acha1250	CO	https://glottolog.org/resource/languoid/id/acha1250			https://en.wikipedia.org/w/index.php?title=ISO_639:aca
acd	acd	10K-100K	latn	Gikyode	giky1238	GH, TG	https://glottolog.org/resource/languoid/id/giky1238			https://en.wikipedia.org/w/index.php?title=ISO_639:acd
ace	ace	4000000	latn	Acehnese	achi1257	ID	https://glottolog.org/resource/languoid/id/achi1257		Acèh	https://en.wikipedia.org/w/index.php?title=ISO_639:ace
acf	acf	200000	latn	Saint Lucian Creole French	sain1246	DM, TT	https://glottolog.org/resource/languoid/id/sain1246		Kwéyòl	https://en.wikipedia.org/w/index.php?title=ISO_639:acf
ach	ach	1000000	latn	Acoli	acol1236	SD, UG	https://glottolog.org/resource/languoid/id/acol1236	Acholi	Acholi	https://en.wikipedia.org/w/index.php?title=ISO_639:ach
acm	acm	26000000	arab	Gilit Mesopotamian Arabic	meso1252	IR, IQ, JO, SY, TR	https://glottolog.org/resource/languoid/id/meso1252			https://en.wikipedia.org/w/index.php?title=ISO_639:acm
acn	acn	10K-100K	latn	Longchuan Achang	acha1249	CN, MM	https://glottolog.org/resource/languoid/id/acha1249			https://en.wikipedia.org/w/index.php?title=ISO_639:acn
acq	acq	7000000	arab	Ta'izzi-Adeni Arabic	taiz1242	ER, SA, YE	https://glottolog.org/resource/languoid/id/taiz1242			https://en.wikipedia.org/w/index.php?title=ISO_639:acq
acr	acr	10K-100K	latn	Achi	achi1256	GT	https://glottolog.org/resource/languoid/id/achi1256			https://en.wikipedia.org/w/index.php?title=ISO_639:acr
act	act	10K-100K	latn	Achterhoeks	acht1238	DE, NL	https://glottolog.org/resource/languoid/id/acht1238		Achterhoeks	https://en.wikipedia.org/w/index.php?title=ISO_639:act
acu	acu	<10K	latn	Achuar-Shiwiar	achu1248	EC, PE	https://glottolog.org/resource/languoid/id/achu1248			https://en.wikipedia.org/w/index.php?title=ISO_639:acu
acw	acw	14000000	arab	Hijazi Arabic	hija1235	SA, YE	https://glottolog.org/resource/languoid/id/hija1235			https://en.wikipedia.org/w/index.php?title=ISO_639:acw
acx	acx	1000000	arab	Omani Arabic	oman1239	OM, AE	https://glottolog.org/resource/languoid/id/oman1239			https://en.wikipedia.org/w/index.php?title=ISO_639:acx
ada	ada	800000	latn	Adangme	adan1247	GH	https://glottolog.org/resource/languoid/id/adan1247		Dangme	https://en.wikipedia.org/w/index.php?title=ISO_639:ada
ade	ade	10K-100K	latn	Adele	adel1244	GH, TG	https://glottolog.org/resource/languoid/id/adel1244			https://en.wikipedia.org/w/index.php?title=ISO_639:ade
adh	adh	400000	latn	Adhola	adho1243	KE, UG	https://glottolog.org/resource/languoid/id/adho1243			https://en.wikipedia.org/w/index.php?title=ISO_639:adh
adi	adi	200000	latn	Bori-Karko	bori1243	BT, CN, IN	https://glottolog.org/resource/languoid/id/bori1243			https://en.wikipedia.org/w/index.php?title=ISO_639:adi
adj	adj	10K-100K	latn	Adioukrou	adio1239	CI	https://glottolog.org/resource/languoid/id/adio1239			https://en.wikipedia.org/w/index.php?title=ISO_639:adj
ady	ady	600000	cyrl	Adyghe	adyg1241	IL, JO, RU, SY, TR	https://glottolog.org/resource/languoid/id/adyg1241		Адыгабзэ	https://en.wikipedia.org/w/index.php?title=ISO_639:ady
adz	adz	10K-100K	latn	Adzera	adze1240	PG	https://glottolog.org/resource/languoid/id/adze1240			https://en.wikipedia.org/w/index.php?title=ISO_639:adz
aeb	aeb	11000000	arab,latn	Tunisian Arabic	tuni1259	DZ, LY, TN	https://glottolog.org/resource/languoid/id/tuni1259			https://en.wikipedia.org/w/index.php?title=ISO_639:aeb
aec	aec	19000000	arab	Saidi Arabic	said1239	EG, SD	https://glottolog.org/resource/languoid/id/said1239			https://en.wikipedia.org/w/index.php?title=ISO_639:aec
aer	aer	<10K	latn	Eastern Arrernte	east2379	AU	https://glottolog.org/resource/languoid/id/east2379			https://en.wikipedia.org/w/index.php?title=ISO_639:aer
aeu	aeu	10K-100K	latn	Akeu	akeu1235	CN, LA, MM, TH	https://glottolog.org/resource/languoid/id/akeu1235			https://en.wikipedia.org/w/index.php?title=ISO_639:aeu
aey	aey	<10K	latn	Amele	amel1241	PG	https://glottolog.org/resource/languoid/id/amel1241			https://en.wikipedia.org/w/index.php?title=ISO_639:aey
afb	afb	5000000	arab	Gulf Arabic	gulf1241	BH, IR, IQ, KW, OM, QA, SA, AE, YE	https://glottolog.org/resource/languoid/id/gulf1241			https://en.wikipedia.org/w/index.php?title=ISO_639:afb
afr	af	17000000	latn	Afrikaans	afri1274	BW, MZ, NA, ZA, ZM, ZW	https://glottolog.org/resource/languoid/id/afri1274			https://en.wikipedia.org/w/index.php?title=ISO_639:afr
afu	afu	200000	latn	Awutu	awut1241	GH	https://glottolog.org/resource/languoid/id/awut1241			https://en.wikipedia.org/w/index.php?title=ISO_639:afu
agc	agc	10K-100K	latn	Agatu	agat1236	NG	https://glottolog.org/resource/languoid/id/agat1236			https://en.wikipedia.org/w/index.php?title=ISO_639:agc
agd	agd	10K-100K	latn	Agarabi	agar1252	PG	https://glottolog.org/resource/languoid/id/agar1252			https://en.wikipedia.org/w/index.php?title=ISO_639:agd
agg	agg	<10K	latn	Angor	ango1254	PG	https://glottolog.org/resource/languoid/id/ango1254			https://en.wikipedia.org/w/index.php?title=ISO_639:agg
agm	agm	<10K	latn	Angaataha	anga1290	PG	https://glottolog.org/resource/languoid/id/anga1290			https://en.wikipedia.org/w/index.php?title=ISO_639:agm
agn	agn	10K-100K	latn	Agutaynen	agut1237	PH	https://glottolog.org/resource/languoid/id/agut1237			https://en.wikipedia.org/w/index.php?title=ISO_639:agn
ago	ago	<10K	latn	Tainae	tain1253	PG	https://glottolog.org/resource/languoid/id/tain1253			https://en.wikipedia.org/w/index.php?title=ISO_639:ago
agq	agq	10K-100K	latn	Aghem	aghe1239	CM	https://glottolog.org/resource/languoid/id/aghe1239			https://en.wikipedia.org/w/index.php?title=ISO_639:agq
agr	agr	10K-100K	latn	Aguaruna	agua1253	PE	https://glottolog.org/resource/languoid/id/agua1253			https://en.wikipedia.org/w/index.php?title=ISO_639:agr
agt	agt	<10K	latn	Central Cagayan Agta	cent2084	PH	https://glottolog.org/resource/languoid/id/cent2084			https://en.wikipedia.org/w/index.php?title=ISO_639:agt
agu	agu	<10K	latn	Aguacateco	agua1252	GT	https://glottolog.org/resource/languoid/id/agua1252			https://en.wikipedia.org/w/index.php?title=ISO_639:agu
agw	agw	<10K	latn	Kahua	kahu1241	SB	https://glottolog.org/resource/languoid/id/kahu1241			https://en.wikipedia.org/w/index.php?title=ISO_639:agw
agx	agx	10K-100K	cyrl	Aghul	aghu1253	AZ, RU	https://glottolog.org/resource/languoid/id/aghu1253			https://en.wikipedia.org/w/index.php?title=ISO_639:agx
aha	aha	100000	latn	Ahanta	ahan1243	GH	https://glottolog.org/resource/languoid/id/ahan1243			https://en.wikipedia.org/w/index.php?title=ISO_639:aha
ahb	ahb	<10K	latn	Axamb	axam1237	VU	https://glottolog.org/resource/languoid/id/axam1237			https://en.wikipedia.org/w/index.php?title=ISO_639:ahb
ahk	ahk	600000	latn	Akha	akha1245	CN, LA, MM, TH, VN	https://glottolog.org/resource/languoid/id/akha1245			https://en.wikipedia.org/w/index.php?title=ISO_639:ahk
ahl	ahl	<10K	latn	Igo	igoo1238	GH, TG	https://glottolog.org/resource/languoid/id/igoo1238			https://en.wikipedia.org/w/index.php?title=ISO_639:ahl
aia	aia	<10K	latn	Arosi	aros1241	SB	https://glottolog.org/resource/languoid/id/aros1241			https://en.wikipedia.org/w/index.php?title=ISO_639:aia
aig	aig	200000	latn	Antigua and Barbuda Creole English	anti1245	AI, AG, DM, MS, KN, GB	https://glottolog.org/resource/languoid/id/anti1245			https://en.wikipedia.org/w/index.php?title=ISO_639:aig
aii	aii	800000	syrc	Assyrian Neo-Aramaic	assy1241	IR, IQ, SY, TR	https://glottolog.org/resource/languoid/id/assy1241		ܣܘܪܝܬ	https://en.wikipedia.org/w/index.php?title=ISO_639:aii
aim	aim	<10K	latn	Aimol	aimo1244	IN, NP	https://glottolog.org/resource/languoid/id/aimo1244			https://en.wikipedia.org/w/index.php?title=ISO_639:aim
ain	ain	<10K	kana,latn	Hokkaido Ainu	ainu1240	JP	https://glottolog.org/resource/languoid/id/ainu1240			https://en.wikipedia.org/w/index.php?title=ISO_639:ain
aiq	aiq	600000	arab	Aimaq	aima1241	AF, IR	https://glottolog.org/resource/languoid/id/aima1241			https://en.wikipedia.org/w/index.php?title=ISO_639:aiq
aiw	aiw	200000	ethi,latn	Aari	aari1239	ET	https://glottolog.org/resource/languoid/id/aari1239			https://en.wikipedia.org/w/index.php?title=ISO_639:aiw
ajg	ajg	600000	latn	Aja (Benin)	ajab1235	BJ, TG	https://glottolog.org/resource/languoid/id/ajab1235		Ajagbe	https://en.wikipedia.org/w/index.php?title=ISO_639:ajg
aji	aji	<10K	latn	Ajië	ajie1238	NC	https://glottolog.org/resource/languoid/id/ajie1238			https://en.wikipedia.org/w/index.php?title=ISO_639:aji
ajz	ajz	100000	beng,latn	Amri Karbi	amri1238	IN	https://glottolog.org/resource/languoid/id/amri1238			https://en.wikipedia.org/w/index.php?title=ISO_639:ajz
aka	ak	13000000	latn	Akan	akan1250	GH, TG	https://glottolog.org/resource/languoid/id/akan1250		Akan	https://en.wikipedia.org/w/index.php?title=ISO_639:aka
akb	akb	800000	batk,latn	Batak Angkola	bata1290	ID	https://glottolog.org/resource/languoid/id/bata1290			https://en.wikipedia.org/w/index.php?title=ISO_639:akb
ake	ake	10K-100K	latn	Akawaio	akaw1239	BR, GY, VE	https://glottolog.org/resource/languoid/id/akaw1239			https://en.wikipedia.org/w/index.php?title=ISO_639:ake
akh	akh	10K-100K	latn	Angal Heneng	anga1292	PG	https://glottolog.org/resource/languoid/id/anga1292			https://en.wikipedia.org/w/index.php?title=ISO_639:akh
akl	akl	500000	latn	Aklanon	akla1241	PH	https://glottolog.org/resource/languoid/id/akla1241			https://en.wikipedia.org/w/index.php?title=ISO_639:akl
akp	akp	10K-100K	latn	Siwu	siwu1238	GH	https://glottolog.org/resource/languoid/id/siwu1238			https://en.wikipedia.org/w/index.php?title=ISO_639:akp
akr	akr	<10K	latn	Araki	arak1252	VU	https://glottolog.org/resource/languoid/id/arak1252			https://en.wikipedia.org/w/index.php?title=ISO_639:akr
akv	akv	10K-100K	cyrl	Akhvakh	akhv1239	RU	https://glottolog.org/resource/languoid/id/akhv1239			https://en.wikipedia.org/w/index.php?title=ISO_639:akv
akz	akz	<10K	latn	Alabama	alab1237	US	https://glottolog.org/resource/languoid/id/alab1237			https://en.wikipedia.org/w/index.php?title=ISO_639:akz
ala	ala	400000	latn	Alago	alag1242	NG	https://glottolog.org/resource/languoid/id/alag1242			https://en.wikipedia.org/w/index.php?title=ISO_639:ala
ale	ale	<10K	cyrl,latn	Aleut	aleu1260	RU, US	https://glottolog.org/resource/languoid/id/aleu1260			https://en.wikipedia.org/w/index.php?title=ISO_639:ale
ali	ali	<10K	latn	Amaimon	amai1246	PG	https://glottolog.org/resource/languoid/id/amai1246			https://en.wikipedia.org/w/index.php?title=ISO_639:ali
alj	alj	<10K	latn	Alangan	alan1249	PH	https://glottolog.org/resource/languoid/id/alan1249			https://en.wikipedia.org/w/index.php?title=ISO_639:alj
alp	alp	10K-100K	latn	Alune	alun1238	ID	https://glottolog.org/resource/languoid/id/alun1238			https://en.wikipedia.org/w/index.php?title=ISO_639:alp
alq	alq	<10K	latn	Algonquin	algo1255	CA	https://glottolog.org/resource/languoid/id/algo1255			https://en.wikipedia.org/w/index.php?title=ISO_639:alq
alr	alr	<10K	cyrl,latn	Alutor	alut1245	RU	https://glottolog.org/resource/languoid/id/alut1245			https://en.wikipedia.org/w/index.php?title=ISO_639:alr
alt	alt	10K-100K	cyrl	Southern Altai	sout2694	CN, KZ, MN, RU	https://glottolog.org/resource/languoid/id/sout2694			https://en.wikipedia.org/w/index.php?title=ISO_639:alt
alu	alu	10K-100K	latn	Are'are	area1240	SB	https://glottolog.org/resource/languoid/id/area1240			https://en.wikipedia.org/w/index.php?title=ISO_639:alu
alw	alw	300000	ethi	Alaba-K'abeena	alab1254	ET	https://glottolog.org/resource/languoid/id/alab1254			https://en.wikipedia.org/w/index.php?title=ISO_639:alw
aly	aly	<10K	latn	Alyawarr	alya1239	AU	https://glottolog.org/resource/languoid/id/alya1239			https://en.wikipedia.org/w/index.php?title=ISO_639:aly
alz	alz	2000000	latn	Alur	alur1250	CD, UG	https://glottolog.org/resource/languoid/id/alur1250		Lur	https://en.wikipedia.org/w/index.php?title=ISO_639:alz
amc	amc	<10K	latn	Amahuaca	amah1246	BR, PE	https://glottolog.org/resource/languoid/id/amah1246			https://en.wikipedia.org/w/index.php?title=ISO_639:amc
ame	ame	10K-100K	latn	Yanesha'	yane1238	PE	https://glottolog.org/resource/languoid/id/yane1238			https://en.wikipedia.org/w/index.php?title=ISO_639:ame
amf	amf	10K-100K	latn	Hamer-Banna	hame1242	ET, KE	https://glottolog.org/resource/languoid/id/hame1242			https://en.wikipedia.org/w/index.php?title=ISO_639:amf
amh	am	22000000	ethi,latn	Amharic	amha1245	DJ, ET	https://glottolog.org/resource/languoid/id/amha1245			https://en.wikipedia.org/w/index.php?title=ISO_639:amh
ami	ami	100000	latn	Amis	amis1246	TW	https://glottolog.org/resource/languoid/id/amis1246		Pangcah	https://en.wikipedia.org/w/index.php?title=ISO_639:ami
amk	amk	10K-100K	latn	Ambai	amba1265	ID	https://glottolog.org/resource/languoid/id/amba1265			https://en.wikipedia.org/w/index.php?title=ISO_639:amk
amm	amm	<10K	latn	Ama (Papua New Guinea)	amap1240	PG	https://glottolog.org/resource/languoid/id/amap1240			https://en.wikipedia.org/w/index.php?title=ISO_639:amm
amn	amn	<10K	latn	Amanab	aman1265	PG	https://glottolog.org/resource/languoid/id/aman1265			https://en.wikipedia.org/w/index.php?title=ISO_639:amn
amo	amo	10K-100K	latn	Amo	amoo1242	NG	https://glottolog.org/resource/languoid/id/amoo1242			https://en.wikipedia.org/w/index.php?title=ISO_639:amo
amp	amp	<10K	latn	Alamblak	alam1246	PG	https://glottolog.org/resource/languoid/id/alam1246			https://en.wikipedia.org/w/index.php?title=ISO_639:amp
amr	amr	<10K	latn	Amarakaeri	amar1274	PE	https://glottolog.org/resource/languoid/id/amar1274			https://en.wikipedia.org/w/index.php?title=ISO_639:amr
amu	amu	10K-100K	latn	Guerrero Amuzgo	guer1243	MX	https://glottolog.org/resource/languoid/id/guer1243			https://en.wikipedia.org/w/index.php?title=ISO_639:amu
amw	amw	10K-100K	syrc	Western Neo-Aramaic	west2763	SY	https://glottolog.org/resource/languoid/id/west2763			https://en.wikipedia.org/w/index.php?title=ISO_639:amw
amx	amx	<10K	latn	Anmatyerre	anma1239	AU	https://glottolog.org/resource/languoid/id/anma1239			https://en.wikipedia.org/w/index.php?title=ISO_639:amx
anc	anc	400000	latn	Ngas	ngas1240	NG	https://glottolog.org/resource/languoid/id/ngas1240			https://en.wikipedia.org/w/index.php?title=ISO_639:anc
ane	ane	<10K	latn	Xârâcùù	xara1244	NC	https://glottolog.org/resource/languoid/id/xara1244			https://en.wikipedia.org/w/index.php?title=ISO_639:ane
ank	ank	100000	latn	Goemai	goem1240	NG	https://glottolog.org/resource/languoid/id/goem1240			https://en.wikipedia.org/w/index.php?title=ISO_639:ank
ann	ann	200000	latn	Obolo	obol1243	NG	https://glottolog.org/resource/languoid/id/obol1243			https://en.wikipedia.org/w/index.php?title=ISO_639:ann
anp	anp	700000	deva	Angika	angi1238	IN, NP	https://glottolog.org/resource/languoid/id/angi1238		अंगिका	https://en.wikipedia.org/w/index.php?title=ISO_639:anp
anr	anr	10K-100K	deva	Andh	andh1242	IN	https://glottolog.org/resource/languoid/id/andh1242			https://en.wikipedia.org/w/index.php?title=ISO_639:anr
anu	anu	100000	ethi	Anuak	anua1242	ET, SD	https://glottolog.org/resource/languoid/id/anua1242			https://en.wikipedia.org/w/index.php?title=ISO_639:anu
anv	anv	10K-100K	latn	Denya	deny1238	CM, NG	https://glottolog.org/resource/languoid/id/deny1238			https://en.wikipedia.org/w/index.php?title=ISO_639:anv
anw	anw	1000000	latn	Anaang	anaa1238	NG	https://glottolog.org/resource/languoid/id/anaa1238		Anaang	https://en.wikipedia.org/w/index.php?title=ISO_639:anw
any	any	1000000	latn	Anyin	anyi1245	CI, GH	https://glottolog.org/resource/languoid/id/anyi1245			https://en.wikipedia.org/w/index.php?title=ISO_639:any
aoc	aoc	<10K	latn	Pemon	pemo1248	BR, GY, VE	https://glottolog.org/resource/languoid/id/pemo1248			https://en.wikipedia.org/w/index.php?title=ISO_639:aoc
aoi	aoi	<10K	latn	Anindilyakwa	anin1240	AU	https://glottolog.org/resource/languoid/id/anin1240			https://en.wikipedia.org/w/index.php?title=ISO_639:aoi
aoj	aoj	10K-100K	latn	Mufian	mufi1238	PG	https://glottolog.org/resource/languoid/id/mufi1238			https://en.wikipedia.org/w/index.php?title=ISO_639:aoj
aom	aom	<10K	latn	Ömie	omie1241	PG	https://glottolog.org/resource/languoid/id/omie1241			https://en.wikipedia.org/w/index.php?title=ISO_639:aom
aon	aon	<10K	latn	Bumbita Arapesh	bumb1241	PG	https://glottolog.org/resource/languoid/id/bumb1241			https://en.wikipedia.org/w/index.php?title=ISO_639:aon
aoz	aoz	800000	latn	Uab Meto	uabm1237	ID, TL	https://glottolog.org/resource/languoid/id/uabm1237			https://en.wikipedia.org/w/index.php?title=ISO_639:aoz
apb	apb	10K-100K	latn	Sa'a	saaa1240	SB	https://glottolog.org/resource/languoid/id/saaa1240			https://en.wikipedia.org/w/index.php?title=ISO_639:apb
apc	apc	15000000	arab,latn	North Levantine Arabic	nort3139	IL, LB, SY, TR	https://glottolog.org/resource/languoid/id/nort3139			https://en.wikipedia.org/w/index.php?title=ISO_639:apc
apd	apd	17000000	arab	Sudanese Arabic	suda1236	CF, TD, EG, ER, ET, LY, SD	https://glottolog.org/resource/languoid/id/suda1236			https://en.wikipedia.org/w/index.php?title=ISO_639:apd
ape	ape	10K-100K	latn	Bukiyip	buki1249	PG	https://glottolog.org/resource/languoid/id/buki1249			https://en.wikipedia.org/w/index.php?title=ISO_639:ape
apm	apm	<10K	latn	Mescalero-Chiricahua Apache	mesc1238	US	https://glottolog.org/resource/languoid/id/mesc1238			https://en.wikipedia.org/w/index.php?title=ISO_639:apm
apn	apn	<10K	latn	Apinayé	apin1244	BR	https://glottolog.org/resource/languoid/id/apin1244			https://en.wikipedia.org/w/index.php?title=ISO_639:apn
apr	apr	<10K	latn	Arop-Lokep	arop1243	PG	https://glottolog.org/resource/languoid/id/arop1243			https://en.wikipedia.org/w/index.php?title=ISO_639:apr
aps	aps	<10K	latn	Arop-Sissano	arop1242	PG	https://glottolog.org/resource/languoid/id/arop1242			https://en.wikipedia.org/w/index.php?title=ISO_639:aps
apu	apu	<10K	latn	Apurinã	apur1254	BR	https://glottolog.org/resource/languoid/id/apur1254			https://en.wikipedia.org/w/index.php?title=ISO_639:apu
apw	apw	10K-100K	latn	Western Apache	west2615	US	https://glottolog.org/resource/languoid/id/west2615			https://en.wikipedia.org/w/index.php?title=ISO_639:apw
apy	apy	<10K	latn	Apalaí	apal1257	BR	https://glottolog.org/resource/languoid/id/apal1257			https://en.wikipedia.org/w/index.php?title=ISO_639:apy
apz	apz	<10K	latn	Safeyoka	safe1240	PG	https://glottolog.org/resource/languoid/id/safe1240			https://en.wikipedia.org/w/index.php?title=ISO_639:apz
ara	ar	350000000	arab,latn	Arabic (macrolanguage)	n/a		n/a			https://en.wikipedia.org/w/index.php?title=ISO_639:ara
are	are	<10K	latn	Western Arrarnta	west2441	AU	https://glottolog.org/resource/languoid/id/west2441			https://en.wikipedia.org/w/index.php?title=ISO_639:are
arg	an	10K-100K	latn	Aragonese	arag1245	FR, ES	https://glottolog.org/resource/languoid/id/arag1245		Aragonés	https://en.wikipedia.org/w/index.php?title=ISO_639:arg
arh	arh	<10K	latn	Arhuaco	arhu1242	CO	https://glottolog.org/resource/languoid/id/arhu1242			https://en.wikipedia.org/w/index.php?title=ISO_639:arh
ari	ari	<10K	latn	Arikara	arik1262	US	https://glottolog.org/resource/languoid/id/arik1262			https://en.wikipedia.org/w/index.php?title=ISO_639:ari
arl	arl	<10K	latn	Arabela	arab1268	PE	https://glottolog.org/resource/languoid/id/arab1268			https://en.wikipedia.org/w/index.php?title=ISO_639:arl
arn	arn	300000	latn	Mapudungun	mapu1245	AR, CL	https://glottolog.org/resource/languoid/id/mapu1245		Mapudungun	https://en.wikipedia.org/w/index.php?title=ISO_639:arn
aro	aro	<10K	latn	Araona	arao1248	BO	https://glottolog.org/resource/languoid/id/arao1248			https://en.wikipedia.org/w/index.php?title=ISO_639:aro
arp	arp	<10K	latn	Arapaho	arap1274	US	https://glottolog.org/resource/languoid/id/arap1274			https://en.wikipedia.org/w/index.php?title=ISO_639:arp
arq	arq	27000000	arab	Algerian Arabic	alge1239	DZ, MA, TN	https://glottolog.org/resource/languoid/id/alge1239			https://en.wikipedia.org/w/index.php?title=ISO_639:arq
asa	asa	500000	latn	Asu (Tanzania)	asut1235	KE, TZ	https://glottolog.org/resource/languoid/id/asut1235			https://en.wikipedia.org/w/index.php?title=ISO_639:asa
asb	asb	<10K	latn	Assiniboine	assi1247	CA, US	https://glottolog.org/resource/languoid/id/assi1247			https://en.wikipedia.org/w/index.php?title=ISO_639:asb
asg	asg	200000	latn	Western-Kambari-Cishingini	cish1238	BJ, NG	https://glottolog.org/resource/languoid/id/cish1238			https://en.wikipedia.org/w/index.php?title=ISO_639:asg
asm	as	13000000	beng,deva,latn	Assamese	assa1263	BD, BT, IN	https://glottolog.org/resource/languoid/id/assa1263		Asamiya	https://en.wikipedia.org/w/index.php?title=ISO_639:asm
aso	aso	10K-100K	latn	Dano	dano1240	PG	https://glottolog.org/resource/languoid/id/dano1240			https://en.wikipedia.org/w/index.php?title=ISO_639:aso
ast	ast	600000	latn	Asturian-Leonese-Cantabrian	astu1245	PT, ES	https://glottolog.org/resource/languoid/id/astu1245		Asturianu	https://en.wikipedia.org/w/index.php?title=ISO_639:ast
ata	ata	<10K	latn	Pele-Ata	pele1245	PG	https://glottolog.org/resource/languoid/id/pele1245			https://en.wikipedia.org/w/index.php?title=ISO_639:ata
atb	atb	100000	latn	Zaiwa	zaiw1241	CN, MM	https://glottolog.org/resource/languoid/id/zaiw1241			https://en.wikipedia.org/w/index.php?title=ISO_639:atb
atd	atd	10K-100K	latn	Ata Manobo	atam1240	PH	https://glottolog.org/resource/languoid/id/atam1240			https://en.wikipedia.org/w/index.php?title=ISO_639:atd
atg	atg	10K-100K	latn	Ivbie North-Okpela-Arhe	ivbi1241	NG	https://glottolog.org/resource/languoid/id/ivbi1241			https://en.wikipedia.org/w/index.php?title=ISO_639:atg
ati	ati	400000	latn	Attié	atti1239	CI	https://glottolog.org/resource/languoid/id/atti1239			https://en.wikipedia.org/w/index.php?title=ISO_639:ati
atj	atj	<10K	latn	Atikamekw	atik1240	CA	https://glottolog.org/resource/languoid/id/atik1240			https://en.wikipedia.org/w/index.php?title=ISO_639:atj
atq	atq	10K-100K	latn	Aralle-Tabulahan	aral1243	ID	https://glottolog.org/resource/languoid/id/aral1243			https://en.wikipedia.org/w/index.php?title=ISO_639:atq
