a	Ein
based	staðsettur
basement	kjallari
basic	grundleggjandi
basically	í grundini
basil	basilikum
bastard	beist
batch	bunki
batch	bakstur
bath	bað
bathroom	baðirúm
battery	battarí
battle	bardagi
bay	vík
be	vera
be careful	ansa tær
beach	strond
beam	biti
beans	bønir
bear	bjørn
beard	skegg
bearing	hugburður
beast	beist
beat	buka
beautiful	vakurt
beautiful	vøkur
beautiful	vakur
beauty	vakurleiki
became	gjærdist
because	tíð
become	gerast
bed	song
bedroom	kamar
bee	býfluga
beef	búffur
been	hevur verið
beer	bjørn
before	áðrenn
began	byrjaði
begin	byrja
beginning	byrjan
behalf	fyri hann
behave	skikka sær
behavior	atburður
behaviour	atburður
behind	aftanfyri
being	verða verandi
being	vera
belief	sannføring
believe	trúgva
belly	búkur
belong	hoyra til
beloved	elskaður
below	undir
belt	belit
bench	bonkur
bend	bogi
beneath	undir
benefit	fyrimunur
benefits	fyrimunur
beside	við síðuna av
besides	umframt
best	best
best of luck	bestu eydnu
best regards	bestu heilsur
best regards	kærar heilsur
better	betra
better	bøta um
between	millum
between	ímillum
beverage	drykkur
beyond	fyri handan
beyond	handan
Bhojpuri	Bhojpuri
bias	skráskurður
bias	fordómur
biased	partískur
bicycle	súkkla
bid	boð
big	stórur
bike	súkkla
bill	rokning
bind	band
bird	fuglur
birthday	føðingardagur
bit	petti
bit	biti
bite	bíta
bite	biti
bitter	beiskur
black	svartur
blade	blað
blame	ákæra
blank	glopp
blanket	teppi
blast	hvirla
bleach	bleikja
blend	blanda seg við
bless	vælsigna
blessed	signaður
blind	blindur
bliss	sæla
block	kubbi
blood	blóð
bloom	blóma
blow	blása
blue	blátt
blunt	óhvassur
board	fara umborð
board	borð
boat	bátur
body	kroppur
boil	kóka
bold	djarvur
bold	óræddur
bond	band
bone	bein
book	bók
boost	lyft
booster	kraftøkjari
boot	stivli
boots	stivlar
border	mark
bore	keðsemi
bored	keðir seg
boring	keðiligt
born	føddur
borrow	læna
boss	stjóri
both	bæði
bother	hávi
bother	plága
bother	ampi
bottle	fløska
bottom	grund
bottom	botnur
bottom	grundarlag
bought	keypti
bounce	spring
bound	mark
boundaries	mørk
bow	bukka
bowl	skál
box	eskja
boy	drongur
boyfriend	unnusti
bracelet	armband
brain	heili
branch	grein
brand	merkisvøra
brave	djarvur
breach	brot
bread	breyð
break	bróta
breakfast	morgunmatur
breast	bringa
breast	bróst
breath	andi
breathe	anda
breed	aling
brick	múrsteinur
bride	brúður
bridge	brúgv
brief	stutt
bright	ljóst
brilliant	avbært
bring	koma við
bring	bera
bro	vinmaður
broad	flógvi
broadcast	varpa út
broke	brotið
broken	brotin
broom	kustur
brother	beiggi
brother	bróður
brother in law	svágur
brought	kom við
brown	brúnur
brush	busta
bucket	spann
buddy	vinur
budget	fíggjarætlan
bug	skordýr
build	byggja
building	bygningur
built	bygdi
bulk	stødd
bull	tarvur
bully	bølmenni
bump	slag
bunch	bundi
bundle	bundi
bundle	knýti
burden	byrða
buried	grivin
burn	brenna
burst	spreinging
bury	jarða
bus	bussur
bush	runnur
business	handil
business	handilsskapur
bust	bringumynd
busy	stríðast við
busy	íðin
but	men
butter	smør
butterfly	firvaldur
button	knappur
buy	keypa
by	melda pass
by	framvið
by	við
by the way	annars
bye	farvæl
cabbage	kál
cabinet	kamar
cage	hola
cake	køka
calf	kálvur
call	róp
call	rópa
call	uppkall
call me	ring til mín
called	ringdi
calm	ró
calm	kvirra
calm	rógv
came	kom
campaign	herferð
can	vera førur fyri
can	kunna
can	fáa loyvi til
can't	kann ikki
Cancel	gera til onkis
Cancel	strika
cancer	krabbamein
capable	førur
capacity	føri
capital	høvuðsstaður
caption	yvirskrift
capture	fanga
car	bilur
career	starv
careful	varliga
carefully	varisliga
careless	líkasælur
caring	umsorgan
carpenter	timburmaður
carpet	teppi
carrot	gularót
carry	bera
carry on	halt á
carry out	liðugur rættur
case	føri
case	tilburður
cash	reiður peningur
cast	kast
castle	slott
casual	tilvildarligur
cat	ketta
cat	køttur
catch	fangaði
category	flokkur
cattle	neyt
caught	fangaði
cause	grund
cause	orsøk
cause	orsøki
caution	varni
cautious	varin
cave	hola
cease	steðga
ceiling	loft
celebrate	hátíðarhalda
cell	kykna
center	miðseta
century	øld
cereal	korn
ceremony	halgisiður
certain	vissur
certainly	vist
certainly	ivaleyst
certainly	við vissu
certificate	prógv
chain	keta
chair	stólur
challenge	avbjóðing
chance	møguleiki
change	broyta
chaos	ruðuleiki
character	náttúra
characteristics	eyðkenni
charge	skuldseting
charge	útreiðslur
charge	løða
charity	vælgerð
charming	hugtakandi
chart	sjókort
chase	jagstra
chat	prát
cheap	ódýrur
cheap	bíligur
cheat	snýta
cheating	sviking
check	forðing
check	kekkur
cheek	skjálki
cheer	fagnaðarróp
cheerful	glaður
cheers	skál
cheese	ostur
chemistry	evnafrøði
cherish	verja um
chess	talv
chest	bringa
chew	tyggja
chicken	høsnarungi
chief	høvdingi
child	barn
childhood	barndómur
children	børn
chill	kuldi
chill	krím
chimneys	skorsteinar
chin	kjálki
chocolate	skjokláta
choice	val
choose	velja
chop	slag
chores	uppgávur
chubby	køggutur
church	kirkja
cinnamon	kanel
circle	ringrás
circumstances	umstøður
citizen	borgari
city	býur
claim	uppáhald
claim	krav
clarify	klára
clarify	klárna
class	flokkur
clay	leir
clean	reinur
clear	rudda
clear	reinsa
clerk	skrivari
clever	klókur
client	viðskiftafólk
cliff	berg
climate	umhvørvi
climb	klatra
clingy	halda fast
clock	klokka
close	lata aftur
closet	skáp
cloth	klútur
clothes	klæði
cloud	skýggj
cloudy	skýggja
clown	íspegil
clue	spor
clumsy	klombrutur
cluster	bólkur
coach	lærari
coach	venjari
coal	kol
coast	strond
coat	frakki
coffee	kaffi
cognitive	fatanarligur
coincidence	tilvildarliga
cold	kaldur
cold	kalt
collapse	falla saman
collar	kragi
colleague	samstarvsfelagi
colleagues	samstarvsfelagi
collect	innsavning
collection	savn
college	læristovnur
color	litur
colorless green ideas slept furiously	litleys grøn hugskot svóvu í øðini
colour	litur
column	súla
comb	greiða
combination	samanseting
combine	sameina
come	koma
come here	kom higar
come on	kom nú
comfort	trpyst
comfortable	fýsligur
comfortable	hugnaligur
comfortable	makligur
coming	komandi
coming soon	komi skj´tt
coming soon	kemur skjótt
command	boð
comment	viðmerking
commercial	lýsing
commission	starv
commit	binda seg til
commitment	avhending
committed	bundin
commodity	vøra
common	vanligt
communicate	samskifta
communication	samskifti
community	samfelag
commute	pendla
companion	felagi
company	vertskapur
company	samvera
compare	samanbera
comparison	samanbering
compassion	samhugi
compassionate	samkennandi
compatible	sameinast
compete	kappast
competent	førur fyri
competent	dugnaligur
competition	kapping
competitive	stríðandi
complain	klaga
complaint	klaga
complement	fullgerð
complete	fullgera
complete	fullfíggja
completely	fullkomuliga
complex	heild
compliance	semja
complicated	torskilt
compliment	fagurorð
comply	lata sær eftirlíka
composition	samanseting
compound	blandingur
comprehension	fatan
comprehensive	drúgvur
compromise	neyðsemja
compulsory	tvingaður
computer	telda
concentrate	miðsavna
concept	hugtakandi
concern	mál
concern	viðurskifti
concern	søk
concerned	stúrin
concerned	áhugaður
concert	konsert
conclusion	niðurstøða
concrete	betong
condition	støða
condition	treyt
condition	standur
conditions	leiðslur
conduct	førsla
conference	ráðstevna
confess	viðganga
confidence	álit
confident	sannførdur
confident	ivaleysur
confirm	vátta
conflict	orrusta
confused	ørkymlaður
confused	ráðaleysur
confusion	ógreiða
congrats	tillukku
congratulation	tillukku
congratulations	tillukku
conjunction	samband
connect	sambinda
conquer	vinna á
conscious	tilvitaður
consciousness	tivit
consent	samstykki
consent	játtan
consequences	avleiðingar
conservation	umsiting
conservation	friðing
conservative	siðbundin
consider	umhugsa
considered	umhugsa
consist	vera úr
consistency	sambæri
consistent	sambærur
constant	áhaldandi
constantly	støðugur
constipation	hart lív
construction	bygging
consume	brúka
consumption	brúk
contact	samband
contagious	smittandi
contain	innihalda
contains	innihalda
contemporary	samtíðar
contempt	vanvirðing
content	innhihald
contest	styrkiroynd
context	samanhangur
continent	meginland
continue	halda á fram
contract	sáttmáli
contrast	mótsetningur
contribute	veita
contribution	íkast
control	vald
controversial	sum ósemja er um
convenience	hentleiki
convenient	hentur
convenient	hóskandi
conversation	samrøða
convert	trúarskiftingur
convey	flyta
convince	sannføra
convinced	sannførdur
cook	matgera
cooking	matgerða
cool	kul
cool	óført
cooperation	samarbeiði
cope	vera mentur
copper	kopar
core	tað innasta
corn	korn
corner	horn
correct	rætta
cost	kostnaður
cost	útreiðslur
costume	búni
cottage	smátta
cotton	silkibummull
couch	sofa
cough	hosta
could	kundi
council	umboðsráð
count	telja
counter	mótvirka
country	land
countryside	bygdarlag
couple	par
courage	dirvi
course	skeið
course	gongd
court	rættur
courtesy	kurteisi
cousin	systkinabarn
cover	áklæði
cow	kúgv
coward	ræðuskítur
cozy	hugnaligur
crab	krabbi
crack	riva
craft	handverk
crap	lortur
crash	brak
craving	tráan
crawl	grulva
crazy	ørur
create	skapa
creative	skapandi
credit	álit
creep	andstyggiligt fólk
creep	krúpan
creepy	óhugnaligur
crew	manning
crime	brotsgerð
cringe	krøkja seg saman
cringe	kreppa tærnar
cringe	krúpa saman
crisis	kreppa
criteria	eyðkenni
critical	vandin
criticism	atfinning
crop	kjós
crops	avgrøði
cross	krossur
crow	kráka
crowd	mannamongd
crowded	ovfyltur
crown	krúna
crucial	týdningarmikið
cruel	óreinur
cruise	langferð
crush	gresjan
crush	knúsan
crush	knasan
cry	gráta
cucumber	agurk
cuddle	klemmast
culture	mentan
cunning	snildur
cup	koppur
cupboard	skáp
curb	teymur
cure	viðgerð
curfew	útgongubann
curiosity	forvitni
curious	forvitin
curly	purlutur
currency	umferð
current	streymur
current	rák
currently	í løtuni
currently	alsamt
curse	banning
curtain	gardina
cushion	koddi
custom	skikkur
customer	viðskiftafólk
customs	tollur
cut	skera
cut	klippa
cute	fittur
cute	listinlærdur
cute	snildur
cycle	súkkla
cycling	súkkling
dad	pápi
daddy	babba
daddy	pápi
daily	dagliga
dairy	mjólkavirki
dam	byrging
damage	skaði
damn	illbøn
damn	eiður
damp	rai
dance	dansur
danger	vandi
dangerous	vandamikil
dark	myrkur
darling	eygnasteinur
darling	skattur
darling	unnusti
dash	slag
data	sannroyndir
date	tíð
date	dadla
date	dagur í mánaðinum
daughter	dóttir
day	dagur
dead	deyður
deadline	evstamark
deaf	deyvur
deal	avtala
dear	góði
dear	kæri
dear	elskaði
Dear All	góðu tit øll
Dear Customer	Góða viðskiftafólk
Dear Parents	Góðu foreldur
Dear Sir	Góð
Dear students	Góðu lesandi
Dear Team	Góða toymi
death	deyði
debate	kjak
debit	skuld
debris	leivdir
debt	skuld
decade	áratíggju
decay	órøkt
deceased	deyður
deceive	svikja
december	desembur
decent	sámilgur
decide	avgerða
decided	avgjørdi
decision	avgerð
deck	dekk
decline	afturgongd
decrease	lækking
dedicated	halgaður
dedication	halgan
deed	verktakari
deep	djúp
deer	kæri
default	vanrøkt
default	vansketni
defeat	ósigur
defend	verja
define	greiða frá
definitely	avgjørt
definition	ásetan
degree	stig
delay	tarn
delayed	seinkað
delete	strúka burtur
deliberate	umráða seg
delicate	fínligur
delicious	lekkurt
delicious	leskiligt
delight	deiggj
delighted	glaður
deliver	bera
delivered	úborið
delivery	avhending
demand	krevja
demanding	krevjandi
democracy	fólkaræði
demon	illur andi
demonstrate	sýna fram
demonstrate	mótmæla
denied	sýtttur
density	tættleiki
dentist	tannlækni
deny	súta
deny	nokta
department	deild
departure	fráferð
depend	treytað av
deploy	spjaða
deposit	trygdarfæ
depressed	tungur í huga
depression	tunglyndi
depth	dýpd
describe	lýsa
description	lýsing
description	frágreiðing
desert	oyðimørk
deserve	uppiborið
design	snið
designation	navn
desire	hugur
desire	ynski
desire	brell
desk	skriviborð
despair	vónloysi
desperate	vónleysur
despite	hoast
dessert	omaná
destination	mál
destiny	lagna
destroy	oyðileggja
destruction	oyðilegging
detail	staklutur
details	staklutir
detect	varnast
determination	avgerð
determine	taka avgerð um
determine	gera av
determined	avgjørdur
devastated	oyða
develop	menna
developed	verktakari
development	gongd
development	íkoma
development	menning
device	uppfinning
device	tól
device	amboð
devil	djevul
devoted	trúfastur
Dhivehi	Dhivehi
diabetes	sukursjúka
diarrhea	leyst lív
diary	dagbók
dictionary	orðabók
did	gjørdi
die	doyggja
died	doyði
diet	kostur
difference	munur
different	ørðvísi
difficult	trupult
dig	grava
dignity	virðing
diligent	íðin
dinner	døgverði
dip	dypp
direct	beinleiðis
direction	leið
director	leiðari
dirt	skittur
dirty	Skitin
disable	gera óarbeiðsføran
disabled	avlamin
disappear	hvørva
disappointed	vónsvikin
disaster	vanlukka
discard	vrakaður lutur
discharge	úttøming
discipline	læra
discount	avsláttur
discover	varnast
discrimination	mannamunur
discuss	trætast
discussion	kjak
disease	sjúkdómur
disease	sjúka
disease	sótt
diseases	sjúkur
disguise	dularbúni
disgusting	andstyggiligur
dish	rættur
dishes	tallerkar
dishes	rættir
dismiss	senda heim
dispatch	sending
display	sýna fram
disposal	ræði
dispute	stríð
distance	fjarstøða
distinct	týðiligur
distinguish	skilja
distress	neyð
distribution	útbýting
district	øki
disturb	órógva
ditch	grøv
ditch	veit
dive	kava
diverse	ólíkur
diversity	fjølbroytni
divide	skilja
divine	guddómligur
divorce	hjúnaskilnaður
dizzy	svimbul
do	ger
do you	ger tú
do you love me	elskar tú meg
doctor	lækni
document	skjal
does	ger
doesn't	ger ikki
dog	hundur
Dogri	Dogri
doing	gerð
doll	dukka
domain	ríki
domestic	hús
dominant	ráðandi
don't	ikki
Don't worry	ikki hugsa um tað
donate	geva
donate	veita
done	liðugur
done	gjørdur
donkey	asni
dope	doyvingarevni
double	dupult
doubt	ivi
dough	dieggj
down	niðurgongd
download	niðurtøka
download	taka niður
draft	tekna
drag	stríð
drain	tøma
drama	harmleikur
draw	tekna
drawer	skuffa
drawing	tekning
dread	ræðsla
dream	dreymur
dress	kjóli
drill	bora
drink	drikkur
drive	koyra
drop	missa
dropped	mist
drought	turkur
drunk	ávirkaður
drunk	fullur
dry	turrur
duck	dunna
dude	knassi
dude	stavnur
dude	jassur
due	geva honum tað
due	ið hansara er
due to	sambært
dull	doyva
dull	káma
dumb	býttur
dump	ruskpláss
duration	tíðarbil
during	undir
during	meðan
dust	støv
duty	skylda
dwell	dvøjla
dying	doyggjandi
each	hvør sær
each	hvør
each	hvør einstakur
each other	hønn annan
eager	ágrýtin
eagle	ørn
ear	oyra
earlier	fyrr
early	tíðliga
earn	tæna
ears	oyru
earth	jørð
earthquake	jarðskjálvti
ease	hugnaður
easily	lættliga
east	eystur
easy	lætt
eat	eta
eat	et
eating	etur
economic	fíggjarligur
economy	búskapur
edge	egg
edit	rætta
edit	ritstjórnan
education	útbúgving
effect	ávirkan
effective	virkin
efficiency	virkni
efficient	virkin
effort	strev
effort	baks
effort	stríð
egg	egg
eggplant	aubergina
ego	eg
eight	átta
eighteen	átjan
eighty	áttati
either	annar
either	hvør
either	onnur
elaborate	evna til
elbow	albogi
elder	eldri persónur
elderly	eldri
elegant	fínur
element	lutur
elephant	fílur
eleven	ellivu
eligible	vælbarur
eliminate	sleppa av við
else	ella
else	annar
else	annars
embarrassed	foyur
embarrassed	smæðin
embarrassing	snópisligur
embrace	fevna
emerge	stingast upp
emerge	koma undan kavi
emergency	neyðstøða
emotional	kenslusamur
empathy	innlivan
emphasis	áhreðsla
emphasize	leggja dent á
employee	starvsfólk
employees	starvsfólk
employer	arbeiðsgevari
employment	arbeði
empty	tøma
enable	gera føran fyri
encounter	fundur
encourage	eggja
end	endi
endangered	komin í vanda
endeavor	roynd
endurance	treysti
endure	halda á
enemy	fíggindi
energy	orka
engage	binda seg
engaged	trúlovaður
engagement	skylda
engine	motorur
engineer	verkfrøðingur
English	Enskt
enhance	hækka
enjoy	njóta
enjoy	stuttleika sær við
enormous	ómetaligur
enormous	ómetaliga stórur
enough	nóg mikið
ensure	tryggja
enter	fara í
entertainment	undirhald
enthusiasm	eldhugi
enthusiastic	eldhugaður
entire	heilur
entire	allur
entitled	hevur rætt til
entity	veran
entrance	inngongd
entrepreneur	arbeiðstakari
envelope	brævbjálvi
environment	umhvørvi
envy	øvunda
epic	episkt
epidemic	farsótt
equal	eins
equipment	útgerð
equipment	útbúnaður
equity	rættvísi
equivalent	javngildur
eraser	viskileður
error	feilur
escape	rýma
especially	serliga
essay	stutt ritgerð
essay	ritroynd
essence	kjarni
essential	høvuðstáttur
essential	kjarni
establish	stovna
established	viðurkendur
estate	góðs
estimate	meting
estimated	mett at vera
etc	osfr
eternal	ævigur
ethics	siðalæra
evaluate	meta
evaluation	meting
even	enntá
even	sjálvt
even though	tó so
evening	kvøld
event	tiltak
eventually	endiliga
eventually	at enda
ever	nakrantíð
every	hvør
everybody	øll
everyone	øll
everything	alt
evidence	prógv
evidence	vitnisburður
evidence	vitnisfrágreiðing
evil	óreinur
evolution	lívmenning
evolve	menna
Ewe	Ewe
ex	latið
exact	beinrakin
exactly	netupp
exactly	neyvt
exactly	akkurát
exam	próvtøka
examine	kanna
example	dømi
exceed	bera av
excellent	frmúr
except	vænta
exception	undantak
excess	avlop
excessive	ómetaligur
exchange	skifti
excited	spentur
excitement	spenningur
exciting	spennandi
exclusive	einasti
exclusive	einasta
excuse	umbering
excuse me	orsaka meg
execute	útinna
execution	útinning
executive	stjóri
exercise	venjing
exhaust	útblástur
exhausted	tømdur
exhibit	framsýning
exhibit	framsýningarlutur
exhibition	framsýning
exist	vera til
existence	tilvera
existing	sum eru
exit	útgongd
expand	víðka
expect	vænta
expected	væntaður
expenses	útreiðslur
expensive	dýrt
experience	roynd
experience	royndir
experiment	roynd
expert	serfrøðingur
expired	útgingið
explain	greiða frá
explanation	frágreiðing
exploit	roysni
explore	rannsaka
export	útflutningur
expose	koma einum undir
exposed	sjónligur
exposure	at vera fyri
express	snarboð
express	siga
expression	máliska
extend	víðka
extended	útrættur
extension	víðkan
extent	vídd
external	ytri
extinct	slóknaður
extra	eyka
extract	úrdráttur
extraordinary	ómetaligur
extreme	útmark
extremely	ógvuliga
eye	eyga
eyes	eygu
fabric	klæði
fabulous	sagnkendur
face	andlit
facilitate	lætta um
facilities	hjálparlutir
facility	dugnaskapur
fact	sannroynd
factor	táttur
factory	virki
facts	royndur lutur
fade	følna
fail	heyst
failed	miseydnað
failure	feilur
faint	svíma
fair	klára í
fair	marknaður
fair	klárna
fairly	rættvísiliga
fairy	álvur
faith	trúgva
faithful	trúgvur
fake	falskur
fall	heyst
fall	detta
false	FALSKUR
fame	mæti
familiar	kendur
family	familja
famine	kvinnulig
famous	kendur
fan	veittra
fan	fjeppari
fancy	hugflog
fancy	ímyndarevni
fancy	tokki
fantastic	ótrúligur
far	fjarur
far	fjarlagdur
farewell	farvæl
farm	garður
farmer	bóndi
Faroese	Føroysk
fascinating	hugtakandi
fashion	móti
fast	skjótur
fat	feitur
fatal	drepandi
fate	lagna
father	faðir
father	pápi
fatigue	máttloysi
fatigue	ekkamøði
fault	feilur
favorite	yndis
favour	tænasta
favourite	yndis
fear	ottast fyri
fear	ótti
feast	gidli
feather	fjøður
feature	sermerki
feature	andlitsbragd
features	andlitsskap
features	sermerki
features	andlitsbragd
february	februar
fed up	hevur fingið nóg mikið
fee	gjald
feed	geva mat
feed	fóðra
feedback	afturgerð
feel	kenna
feeling	kensla
feet	føtur
fell	datt
fellow	maður
felt	kendi
female	kvinna
fence	garður
fertile	burðardygg
festival	festivalur
fetch	fanga
fever	fepur
few	fá
fewer	færri
fiance	unnusti
fiction	fagrar bókmentir
field	bøur
field	jørð
field	mark
fierce	villur
fifteen	fimtan
fifty	fimmti
fight	berjast
fight	bardagi
fighting	bardagar
figure	skap
figure	mynd
figure out	finna útav
figure out	loysa
file	fíla
fill	fylla
filled	fyltur
film	filmur
filthy	skitin
finally	loksins
finally	endiliga
finally	at enda
finance	fígging
financial	fíggjarligur
find	finna
find out	finn útav
find out	fá greiðu á
fine	reinur
fine	fínur
fine	vakur
finger	fingur
finish	gera liðugt
finished	liðugur
fire	eldur
firm	virki
first	fyrst
first name	fornavn
fish	fiskur
fit	passing
fit	tað at passa
five	fimm
fix	festa
fixed	fastur
flag	flagg
flash	snarljós
flat	íbúð
flaw	brek
flawless	lýtaleysur
flee	flýggja
flesh	kjøt
flew	fleyg
flex	benda
flexible	liðiligur
flight	flúgving
flip	klikk
flirt	fjeppan
flirting	fjeppan
float	flóta
flood	flóð
floor	gólv
flour	mjøl
flow	flóð
flow	vøkstur
flower	blóma
flu	beinkrím
fluent	flótandi
fluently	flótandi
fluffy	dúnutur
fluid	væta
fly	flúgva
focus	brennidepil
fog	mjørki
foggy	támut
fold	brot
folks	vinir
folks	fólk
follow	fylgja
follow up	málsframhald
following	fyljga
food	matur
fool	býttlingur
foolish	býttligur
foot	býttlingur
football	fótbóltur
for	fyri
For example	til dømis
for instance	til dømis
for you	fyri teg
for you	til tín
forbidden	forboðið
force	máttur
force	styrki
forecast	forsøgn
forehead	panna
foreign	fremmandur
forest	skógur
forever	altíð
forget	gloyma
forgive	fyrigeva
forgot	gloymdi
fork	gaffil
form	skap
formal	formligur
former	fyrrverandi
fortunately	tíbetur
fortune	lagna
forty	fjøruti
forty-two	tvey og fjøruti
forward	avgreiða
forward	senda
foster	fostra
fought	bardist
fought	stríddist
found	funnin
foundation	stovnan
four	fýra
fourteen	fjúrtan
fox	revur
fragile	viðbrekin
frame	ramma
framework	grind
fraud	svikagerð
freak	løgin
free	sleppa leysum
free	fría
freedom	frælsi
freeze	frysting
frequency	títtleiki
frequent	títt
frequently	ofta
fresh	frískur
