ałtsʼíísí	a little
béheestłʼǫ́h	attached
bóóltąʼígíí	attachment
bíiltsoodígíí	attachment
akʼiilwod	attack
bikʼijiilwod	attack
bizhneeztą́ą́ʼ	attempt
jiniyá	attend
áadi naʼadáago	attendance
shooh kweʼé	attention
aʼátʼeʼ	attitude
tʼáá haʼátʼííshį́į́ baa nidaʼaldeehgo hwił honeenih	attract
hwił nizhóní	attraction
adáhoneeníh	attractive
bee hohónéedzánígíí	attribute
diné dabináłígíí	audience
Bineʼanitʼą́ą́tsʼósí	august
amá yázhí abizhí	aunt
amáyázhí	aunty
abizhí	aunty
tʼáá anínígíí	authentic
doo bééʼalyaaígíí	authentic
haneʼ haidiilaaígíí	author
óholnííh ąąh silá	authority
akʼee	autumn
hólǫ́ǫgo	available
tʼáá bíighahígíí	average
bikʼeeʼąąh	avoid
chʼénadzid	awake
bee hwééhoʼdoolzįįhgo aaʼilyéhígíí	award
baaʼákohwiinidzin	aware
baaʼákohwiinidzinígíí	awareness
niláá	away
sxih	awesome
nizhóní	awesome
baaʼih	awful
tʼóó haashį́į́ yitʼé	awkward
awééʼ	baby
diné tʼáhdoo iiyehígíí	bachelor
bineʼdę́ę́ʼ	back
bikéédóó	back
nákééʼ náhaneʼ	background
baaʼih	bad
azis	bag
bee ódleeh	bait
atʼees	bake
bááh nidahatʼees bił hazʼą́ągi	bakery
bił éʼalʼíní dibahígíí	baking soda
ałhxeełtʼéego naadloʼ	balance
jooł	ball
hashkʼaan	banana
dilníh yee nidaanénígíí	band
názhniłhxał	bang
béeso báhooghan	bank
béésh	bar
kʼasdą́ą́ʼ	barely
doo alʼį́į́góó bee ałghazhdiitʼaah	bargain
nahałʼin	bark
naadą́ʼastʼé	barley
adáahgi hólónígíí	barrier
bitłʼáahdi	base
bee hooʼah	based
hooghan biyaadi nááhastʼánígíí	basement
tʼóó ákotʼéhígo	basic
akotée dah łeh	basically
chʼil	basil
diigis	bastard
ałchʼįʼ beʼastłʼǫ́	batch
taʼadigis	bath
niʼoh nídaʼaldah góneʼ	bathroom
ajéí	battery
anaʼ hazlį́į́ʼ	battle
tó nihiníyį́įgi	bay
hazhóʼó ádaaʼáholyą́	be careful
tábąąh	beach
tsin ániʼánígíí	beam
tsin ádahsitánígíí	beam
naaʼółí	beans
shash	bear
dághaaʼ	beard
naʼazhdiidláhígíí	bearing
bááhadzidii	beast
yéʼii	beast
bikʼeh hodidleeh	beat
yaʼátʼééh	beautiful
nizhóní	beautiful
hózhǫ́	beauty
adzaa	became
biniinaaígíí	because
biniiyéhígíí	because
adzaa	become
tsáskʼeh	bed
tséskʼeh bił hazʼání góneʼ	bedroom
níʼjiilwosh góneʼ	bedroom
tłʼézhii	bee
béégashii bitsįʼ	beef
tó tsiʼnaʼiiłáhí	beer
bizhééʼ hólóní	beer
bilą́ąjįʼ	before
alą́ąjįʼ	before
hahoolzhiizh	began
bee hahoolzhiizh	begin
bee hahalzhíishgo	beginning
łahdóó bá	behalf
haʼátʼeʼ	behave
aʼátʼeʼ	behavior
diné baʼátʼeʼ yee ádééholzinígíí	behaviour
bineʼdę́ę́ʼ	behind
jilį́	being
nilį́	being
oodląʼ	belief
joodlánígíí	believe
abid	belly
ayóóʼóóníinii	beloved
hoyahdi	below
sis	belt
bikááʼ dah nídaʼnidaahí	bench
názhahgo ályaa	bend
biyaagi	beneath
biyaadi	beneath
bee aaʼáhayánígíí	benefit
bee aaʼádahayánígíí	benefits
bíighahgi	beside
bíighahjígo	besides
nizhónígíí	best
nikʼihojidlíi leʼ	best of luck
hazhóʼó aanitáhákees	best regards
yaʼátʼééh	better
bitaʼgi	between
bitaʼdi	between
tʼáá haʼátʼííshį́į́ yidlánígíí	beverage
biláadi	beyond
diné jojoodláago	bias
ázhdoolnih	bias
hakʼihjįʼ haʼoodzííʼ	biased
dziʼizí	bicycle
bą́ą́h adooleełígíí	bid
nitsxaaz	big
dziʼizí	bike
bee ą́ą́hááʼáhí	bill
beʼastłʼǫ́h	bind
tsídii	bird
hodizhchínéejįʼ anínáhoolzhiizh	birthday
jishxash	bit
yishxash	bite
dichʼííʼ	bitter
łizhin	black
béésh nawoʼí	blade
akʼíhatʼááh	blame
doo bikáʼí da	blank
beeldlei	blanket
deesdǫǫh	blast
bee náʼiilgáhí	bleach
bił naʼastsih	blend
akʼihojidlíh	bless
akʼihojoosdliʼ	blessed
doo hootʼį́į da	blind
ił hózhǫ́	bliss
bichʼą́ą́h azʼą́h	block
dił	blood
neestʼą́h	bloom
jisoł	blow
yágo dootłʼizh	blue
doo deeníi da	blunt
tsineheeshjį́hí niteelígíí	board
tsin naaʼeeł	boat
atsʼíís	body
yibéézh	boil
diłhxił	bold
ahíiltsoos	bond
atsʼin	bone
naaltsoos wóltaʼí	book
bee bidoochidígíí	boost
bee náás óólzinígíí	booster
kéjeehí	boot
kéjeehí	boots
náhasdzoh	border
bąąh ahééʼniʼáhí	border
ádahozhdeelá	bore
ádahozhdeesłááʼ	bored
ádahozhdeelá	boring
yizhchį́h	born
aʼítʼaah	borrow
aʼínííł	borrow
naanish bee bóholníhígíí	boss
tʼáá áłah	both
aanáhatʼį́h	bother
tózis	bottle
bitłʼáahdi	bottom
nahaazniiʼ	bought
nikídiltsʼih	bounce
ákǫ́ǫ́h	bound
nahasdzoh	boundaries
haabąs	bow
ałtį́į́ʼ	bow
ásaaʼ	bowl
sitsʼaaʼ	box
tséłkéí	boy
ashkii	boy
eʼashkii	boyfriend
látsíní	bracelet
atsiighąąʼ	brain
tsin bitsʼaozʼah	branch
bee ádiidlííd	brand
adziil	brave
bił oodzííʼ	breach
bááh	bread
kʼeʼaltǫǫǫh nahgóó naʼadáh	break
abinígo chʼiyáán yidánígíí	breakfast
abeʼ	breast
náhizhdidziih	breath
nahizhdidziih	breathe
naaldlooshii oołchíłígíí	breed
tsétʼáhí	brick
asdzání iiyehígíí	bride
naʼniʼáh	bridge
tʼóó baa chʼíhootʼá	brief
disxǫsgo bitsʼádiʼnídíín	bright
nizhóní	brilliant
jiʼaah	bring
akʼis	bro
niteel	broad
tʼáá haʼátʼííshį́į́ baa haneʼgo	broadcast
yichxǫʼ	broke
kʼéʼaltǫʼ	broke
yíchxǫʼ	broken
kʼéʼaltǫʼ	broken
bee nahalzhoohí	broom
atsilí anaaí	brother
aʼayééh	brother in law
yilyá	brought
dibéłchíʼí	brown
beʼazhóóʼ	brush
naadloʼí	bucket
akʼis	buddy
béeso nanideehígíí	budget
chʼosh	bug
tʼáá haʼátʼííshį́į́ ajiléehgo	build
tʼáá haʼátʼííshį́į́ ajilééh	building
tʼáá haʼátʼííshį́į́ ajilééh	built
haʼátʼííshį́į́ nitsaago	bulk
dóola	bull
doo áhodiikóóh	bully
adeijódlíh	bully
diwol	bump
ałchʼįʼ beʼastłʼǫ́	bunch
dah shijaaʼ	bunch
tʼáadooleʼé ałchʼįʼ beʼastłʼǫ́ǫgo	bundle
hayéél nidaazí	burden
łeeh yiltį́h	buried
díílid	burn
deesdǫǫh	burst
łeeh yiltį́h	bury
chidíłtsooí	bus
chʼil	bush
naanish deiyíjeehígíí	business
diitaaʼ	bust
naanish hólǫ́	busy
nidi	but
mondigíiya	butter
kʼaalógii	butterfly
ałdahnátʼáhí	button
nahaniih	buy
bíighahgi	by
shooh kweʼé	by the way
hágoóneeʼ	bye
chʼił chʼiyáán	cabbage
azeeʼ biih náʼniłí	cabinet
béésh naneesdizí	cage
bááh łikaní	cake
béégashii yáázh	calf
hojilneʼ	call
shichʼįʼ hólneʼ	call me
hóóneʼ	called
hashtʼeʼ adolzin	calm
niyá	came
naatʼáanii iʼiiʼnííł yá deiyíjeehgo yádaałtiʼígíí	campaign
doo	can't
ą́ʼnasdziid	Cancel
łóód doo nádziihii	cancer
naałniihii	cancer
tʼáá ałtsohjįʼ bíighah	capable
hazʼánígíí bíighahgo ánéeltʼeʼ dooleełígíí	capacity
naʼadzogo aląąjįʼ bee hahooláhígíí naatʼáanii bił hazʼánígíí	capital
baa haneʼgo saad bikááʼ	caption
iiltsood	capture
chidí nímazí	car
honaanish ájiłʼínígíí	career
hazhóʼó	careful
baaʼaháyą́	carefully
doo baaʼáhayą́ą́góó	careless
hwił ílį́	caring
hooghan ííłʼíní	carpenter
neʼgóó sikaadígíí	carpet
chąąshtʼézhiitsoh	carrot
yitʼááł	carry
niwohjįʼ bee íʼilééh	carry on
chʼétʼaah	carry out
sitsʼaaʼ	case
béeso	cash
tʼáadooleʼé alnééh	cast
kin yah diitłʼinígíí	castle
tʼáá hazhóóʼígo	casual
másí	cat
idoolnaʼ	catch
bił adeesdéél	catch
ałʼąą ádaatʼéego dah naazhjaaʼ	category
béégashii	cattle
iiltsood	caught
biniinaa ádzaaígíí	cause
ádaaʼákohwiinidzin	caution
baaʼákohwiinidzin	cautious
tsé biyiʼ ahoodzą́h	cave
neʼ kólyaago	cease
hooghan biyiʼ hódahdi	ceiling
baaʼahééhwiinidzin	celebrate
chʼosh doo yitʼíinii	cell
ałnííʼ	center
neeznádiin nááhaijįʼ	century
tséstʼéí	cereal
nahaghá	ceremony
tʼáá ákotʼé	certain
tʼáá áko	certainly
naaltsoos binahjįʼ bee éédahozinígíí	certificate
béésh bee naʼadzį́zí	chain
bikááʼ dah asdáhí	chair
bee niʼíhonitaahí	challenge
bee hooʼah	chance
łahgo ádzaa	change
chʼohooshkał	chaos
tʼáá haishį́į́ diné	character
tʼáá haishį́į́ baa haneʼígíí	character
tʼáá haʼátʼííshį́į́ doodago tʼáá háįda átʼéhígíí	characteristics
bee ąąháázil	charge
nániildóóh	charge
ił hadleeʼ	charity
báhozhǫ́	charming
tʼáá haʼátʼííshį́į́ baa haneʼgo bee naʼashchʼąąʼ	chart
jinoołchééł	chase
ahxił haneʼ	chat
doo ilį́į da	cheap
honaʼadloʼ	cheat
inaʼadloʼ	cheating
naaltsoos béeso  as in money check	check
nélʼį́h  to check something	check
aniitsiʼ	cheek
hwił hózhǫ́	cheer
ił hózhǫ́	cheerful
íhoneedlį́	cheers
géeso	cheese
nahasdzáán biyiʼdóó haagéedgo bee naʼalkaah	chemistry
hwił nilį́įgo baa nitsáhákees	cherish
daanéʼé	chess
ayid	chest
yitʼaał	chew
naʼahóóhai	chicken
naatʼáanii	chief
awééʼ	child
áłchíní ídlį́į́dą́ą́ʼ	childhood
áłchíní	children
nooséłí	children
atah hahosdiiszííʼ	chill
łid bá hazéí	chimneys
ayaatsʼiin	chin
abeʼ nihxiní	chocolate
tʼáá hó íizhnízingo	choice
bikʼih hodiinííh	choose
jilneʼ	chop
honaanish ájiłʼínígíí	chores
neeskʼah	chubby
nitsxaaz	chubby
tsodizin báhooghan	church
dikǫ́zhí	cinnamon
nábąs	circle
bee ił hazʼánígíí	circumstances
diné kééhatʼínígíí	citizen
kintah	city
naaltsoos nináltsooz	claim
hó silį́į  as in claim something as yours	claim
hazhóʼó bééhozingo	clarify
óltaʼ góneʼ	class
hashtłʼish	clay
doo bąąh chxin da	clean
nizhóní	clean
niłtóólí	clear
naaltsoos ííłʼíní	clerk
áyóo hwił ééhozin	clever
bił naʼanishí	client
tsé naachiiʼ	cliff
níłchʼih bee áhootʼéhígíí	climate
yiʼnah	climb
bąąh dah jiztʼį́įgo	clingy
náʼoolkiłí	clock
daʼdeelkaal	close
ałchʼih ánalyaa	close
ééʼ inídaaʼniłí góneʼ	closet
naatʼą́hí	cloth
ééʼ	clothes
kʼos	cloud
kʼos dah sikaad	cloudy
diné maʼádilíní	clown
bee áhwiinidzinígíí	clue
binahjįʼ áhwiinidzinígíí	clue
doo hatah hwiinéí da	clumsy
nimazgo ałhiih yiʼnilgo	cluster
naʼnitiní	coach
tsékǫʼ	coal
tóniteeł bąąhgi	coast
éétsoh	coat
gohwééh	coffee
akʼiʼdiitįįh	cognitive
tʼáá ákohanéehgo ádzaa	coincidence
sikʼaz deeskʼaaz	cold
naałdas	collapse
nidoołdas	collapse
azénáʼtʼiʼ	collar
bił ałhił nidajilnishí	colleague
diné bił nidaʼanishígíí	colleagues
nahadlááh	collect
ałhxaʼádaalyaaígíí	collection
hódahdi bidziilgo óltaʼígíí	college
naashchʼąąʼígíí	color
nidaashchʼąąʼígíí	colour
noolkáál	column
tsiighá bee yilzhóhí	comb
ałhxiiʼjįʼ	combination
ałhíidzoh	combine
ałhíinil	combine
hágo	come here
tįʼ	come on
doo hwidítéehiiʼ	comfort
hwił yáʼáhootʼééh	comfortable
aadę́ę́ʼ	coming
hodíinaʼgo aadę́ę́ʼ	coming soon
ajiłáago	command
baa haʼoodzííʼ	comment
bóʼookąąhí	commercial
diné naanish baadeetʼánígíí	commission
bee adeehazhdoodzííʼ	commit
bee ádeehaʼdoodzííʼ	commitment
adeehaʼdoodzííʼ	committed
chʼiyáán aanídaajihígíí	commodity
ádaatʼéhígíí	common
tʼáá haashį́į́ yitʼéego hxił haneʼ	communicate
tʼáá haʼátʼííshį́į́ bee ahxił haneʼ	communication
diné kééhatʼínígíí	community
dinéʼ kééhatʼį́įgi	community
ałnááʼádááh	commute
diné bił nijiʼaashígíí	companion
naanish deiyijeehígíí	company
ałhxąąh naaʼnil	compare
ałhxąąh naaʼnil	comparison
baa hwił hózhǫ́ǫgo bizhneedlį́h	compassion
hwił yáʼátéehgo	compassionate
ałhídinéelná	compatible
ałkʼiʼayiildééh	compete
tʼáá ałtsohjįʼ bíjíighah	competent
bee ałkʼééʼayiildahígíí	competition
bee ałhaaʼayooldah	competitive
baa saad hojołį́	complain
baa saad hojiłeehgo	complaint
saad yáʼátʼéhígíí bee yátiʼ	complement
ałtsoh ályaa	complete
tʼáá átʼé	completely
tʼáá dikwíigo shį́į́ ałʼąą átʼéego bee hadítʼéhígíí	complex
bikʼehgo nidaʼanishígíí	compliance
tʼáá nanitłʼah	complicated
saad yáʼátʼéhígíí bee yátiʼ	compliment
bikʼehgo ajiłʼį́h	comply
tʼáá haʼátʼííshį́į́ bee ályaaígíí	composition
tʼáá haʼátʼííshį́į́ bee hadilyaaígíí	composition
tʼáá haʼátʼííshį́į́ ałhxíiʼnilgo	compound
tʼáá haʼátʼííshį́į́ ałhxiih yilyáago	compound
akʼiʼdiitįįh	comprehension
akʼizhdiitįįh	comprehensive
bee ałghashdeestʼą́h	compromise
bee hazʼánígíí	compulsory
béésh łichíiʼii nitsékeesí	computer
yéego baa nitsáhákees	concentrate
tʼááłáhídóó chóoztʼeʼgo	concentrate
baa nitsíhakeesígíí	concept
baa haneʼgo	concern
hoʼdiiłáago	concern
baa haneʼ	concerned
hoʼdiiłáh	concerned
hazhǫʼ	concert
bee ééhoozinígíí	conclusion
yitʼį́įgo bééhozinígíí	concrete
bee átʼéhígíí	condition
ádaatʼéhígíí	conditions
aʼjilééh	conduct
ahxił haneʼ	conference
chʼééʼditʼaah	confess
chʼééjiʼditʼaah	confess
haʼahoníh	confidence
haʼahoníh	confident
bee lą́	confirm
doo ałhíhodínéenáa da	conflict
tʼóó hwił ałtaahaʼaʼ	confused
doo hazhóʼó bikʼiʼdiitįįh da	confused
doo hwił ééhozin da	confusion
baaʼahxééhwiinidzin	congrats
nizhóní baaʼahxééhwiinidzin	congratulation
doo lá dóʼ da nizhóní	congratulations
saad naadzohgo bee yátiʼ	conjunction
ałhíiltsood	connect
bilajiyáago	conquer
hontsékees átʼéhígíí	conscious
chʼééjidzin dóó tʼáá ałtsohjįʼ baaʼáhozhnízin	consciousness
bee ląʼ aleeh	consent
tʼáá haʼátʼííshį́į́ doo ákojiiłįįhgóó biniinaa akʼihnéítʼihígíí	consequences
ahxił haneʼ	conservation
ahxił haneʼ	conservative
baa nitsíníkees	consider
baa nitsáháskééz	considered
bee hadítʼéhígíí	consist
tʼááłáhígi átʼéego bee injiiłʼįįhgo	consistency
tʼáá łáhígi átʼéego bee áʼjoolííł	consistent
tʼáá ałhxą́ą́h	constant
tʼáá ałhxą́ą́h ááníiłgo	constantly
atsą́ądi íítłʼish	constipation
nidaʼanishídi	construction
nidaʼanishígi	construction
yidą́	consume
jiyą́ągo	consume
yidánígíí	consumption
bichʼįʼ haneʼ alyaa	contact
ayóo idilnééh	contagious
biyiʼígíí	contain
dabiyiʼígíí	contains
kʼad áhooníłígíí	contemporary
doo haahodzídlíi da	contempt
baa haneʼí	content
baa haneʼígíí	content
hwininéh	contest
áhootʼéhígíí	context
kéyah nitsaago bił hadahwiisdzooígíí	continent
náásgóó hoolzhish	continue
naaltsoos bee ałghaʼdeetʼánígíí	contract
tʼáá sahdii átʼé	contrast
ił hadleeʼ	contribute
tʼáadooleʼé aazhnínilígíí	contribution
óholnííh	control
bóholnííh	control
tʼáá haʼátʼííshį́į́ baa saad hólǫ́ǫgo	controversial
tʼáá ałtsohjįʼ bee bichʼįʼ háʼahootʼiʼígíí	convenience
doo bichʼįʼ nahonitłʼah da	convenient
ahił haneʼ	conversation
łahgo alnééh	convert
yigééł	convey
diné tʼáá haʼátʼííshį́į́ bijiníigo yikʼehgóó ádzaago	convince
ábizhniisį́įgo	convinced
chʼiyáán alnééh	cook
chʼiyáán alnééh	cooking
sikʼází honeezkʼází  as in cool weather	cool
naanish bił nahazʼánígíí	cooperation
nanitłʼaaígíí bił joogááł	cope
béésh łichíiʼii	copper
bitsiin	core
naadą́ą́ʼ	corn
nástłʼah	corner
hashtʼeelyaa	correct
bą́ą́h alʼínígíí	cost
ééʼ hózhǫʼ biniiyé bee hááʼdiitʼįįhígíí	costume
hooghan yázhí	cottage
naʼakʼąʼ	cotton
bikááʼ dah asdáhí hideeneezígíí	couch
dikos	cough
naatʼáanii dah naháaztánígíí	council
anéeltʼeʼ woltaʼígíí	count
bikááʼ dah nídaʼaniłí	counter
kéyah nitsaago hahoodzoh	country
kéyah	countryside
ałhidiʼnáanii	couple
naakigo	couple
siiʼhasin	courage
atiin	course
aahwiinítʼíní góneʼ	court
aahwiinítʼį́ bił hazʼánígíí	court
ił ílį́	courtesy
bikʼéstiʼ	cover
béégashii	cow
diigis	coward
honeezilí	cozy
tátłʼááh chʼosh	crab
sitsʼil	crack
álá bee álʼínígíí	craft
tʼáá haʼátʼííshį́į́ nichxǫʼį́	crap
ałhiihíłdááz	crash
biká íizhnízin	craving
jooʼnah	crawl
yiʼnah	crawl
dooʼáhayąʼ	crazy
diigis	crazy
eʼelnééh	create
ayóo tʼáadooleʼé alʼínígíí	creative
ąąhááʼáh	credit
ąąh nijiʼnaʼ	creep
doo yáʼátʼéeh da	creepy
tʼáá haashį́į́ yitʼé	creepy
ahił nidaanishgo dah yikahígíí	crew
oodzííʼ	crime
azhdiigaʼ	cringe
anáhwiitééh	crisis
bee nahazʼánígíí	criteria
tʼáá íiyiíí ákotʼé	critical
diné biyátiʼ	criticism
naniseʼ kʼéédilyéhígíí	crop
kʼidadeesyáhígíí	crops
kʼidaʼdilyé	crops
ałnáʼasdzoh	cross
gáagii	crow
hasdlą́h	crowd
hasdlą́h	crowded
chʼah nizhóní	crown
